Commit ID,User,Tanggal Commit,,Perubahan Setiap Commit
16fadf8,fachrul,in the future,Sun Jun 11 21:04:45 2017 +0700,database fix
7e33bbc,fachrul,in the future,Sun Jun 11 21:03:40 2017 +0700,Merge branch 'master' of https://github.com/rhezaaw/siput
5dbac77,fachrul,in the future,Sun Jun 11 21:02:09 2017 +0700,database fix
2b712bf,rhezaaw,14 hours ago,Thu May 11 20:36:38 2017 +0700,updt final 1
55412fe,rhezaaw,4 days ago,Mon May 8 14:17:52 2017 +0700,fix update final 1
dcab24c,rhezaaw,6 days ago,Sat May 6 21:50:47 2017 +0700,fix undangan
1edf08f,rhezaaw,6 days ago,Sat May 6 21:42:19 2017 +0700,fix undangan
350c951,fachrul,6 days ago,Sat May 6 19:16:26 2017 +0700,fix insert update delete di menu pengaturan (iuran&pengeluaran)
c906b6d,fachrul,6 days ago,Sat May 6 15:07:51 2017 +0700,fix logout
f5e3118,rhezaaw,6 days ago,Sat May 6 14:56:54 2017 +0700,nambah undangan
9768d35,rhezaaw,6 days ago,Sat May 6 14:56:03 2017 +0700,merge fix
19049bd,rhezaaw,6 days ago,Sat May 6 14:49:17 2017 +0700,update pengaturan
9459acb,fachrul,6 days ago,Sat May 6 14:40:57 2017 +0700,fix login
169dd9a,fachrul,6 days ago,Sat May 6 02:25:26 2017 +0700,mindah login ke dao
b244d9e,fachrul,6 days ago,Sat May 6 01:25:16 2017 +0700,update database file
3a7e8a6,rhezaaw,6 days ago,Fri May 5 23:41:42 2017 +0700,update lap
013fe40,fachrul,7 days ago,Fri May 5 21:25:08 2017 +0700,update database file
dcd9643,fachrul,7 days ago,Fri May 5 21:19:00 2017 +0700,edit detail user(alamat ktp tglLahir) insert update delete
1c303b6,fachrul,7 days ago,Fri May 5 19:56:31 2017 +0700,isi tabel di laporan
2d10d5c,fachrul,7 days ago,Fri May 5 19:13:22 2017 +0700,fix ambil data ke server biar tidak hang
97131,fachrul,7 days ago,Fri May 5 19:11:27 2017 +0700,fix ambil data ke server biar tidak hang
2d581e5,rhezaaw,7 days ago,Fri May 5 01:02:17 2017 +0700,revisi laporan nambah surat
be4b76a,rhezaaw,8 days ago,Thu May 4 09:19:20 2017 +0700,revisi laporan tanggal
1f6db5d,rhezaaw,10 days ago,Tue May 2 20:35:34 2017 +0700,fix gui pengaturan
f7d9855,fachrul,10 days ago,Tue May 2 19:32:19 2017 +0700,pindah ke rest
a00c318,rhezaaw,2 weeks ago,Wed Apr 26 11:21:17 2017 +0700,update gui
c65b3cd,rhezaaw,2 weeks ago,Wed Apr 26 10:53:33 2017 +0700,update gui laporan
755f7cc,rhezaaw,2 weeks ago,Wed Apr 26 10:40:36 2017 +0700,update daorest 2
7bf44c6,fachrul,2 weeks ago,Wed Apr 26 10:26:20 2017 +0700,fix merge edit daorest pengeluaran dan iuran
2be51d1,fachrul,2 weeks ago,Wed Apr 26 10:14:11 2017 +0700,edit daorest iuran
4000148,rhezaaw,2 weeks ago,Wed Apr 26 10:04:29 2017 +0700,update dao rest1
4a44f7c,rhezaaw,2 weeks ago,Tue Apr 25 12:20:27 2017 +0700,pull1
52bd1b4,rhezaaw,2 weeks ago,Tue Apr 25 12:20:16 2017 +0700,pull1
35ef19b,fachrul,2 weeks ago,Tue Apr 25 01:32:27 2017 +0700,fix otomatis ngitung kekurangan iuran rutin + database update
35a1921,fachrul,3 weeks ago,Mon Apr 24 19:29:43 2017 +0700,restriction access selain admin
f179617,rhezaaw,3 weeks ago,Mon Apr 24 19:10:27 2017 +0700,konflik
45cd5ca,rhezaaw,3 weeks ago,Mon Apr 24 19:10:14 2017 +0700,konflik
e2fae97,fachrul,3 weeks ago,Mon Apr 24 19:07:04 2017 +0700,fix conflict commit di viewEmployee
c923a4f,rhezaaw,3 weeks ago,Mon Apr 24 17:49:17 2017 +0700,tambah cetak
6cb3d9c,rhezaaw,3 weeks ago,Mon Apr 24 11:16:21 2017 +0700,pull1
fc3cdfe,rhezaaw,3 weeks ago,Mon Apr 24 11:15:41 2017 +0700,pull1
b985927,fachrul,3 weeks ago,Mon Apr 24 00:48:04 2017 +0700,nambah centang iuran di menu tambah user
d9c66b5,fachrul,3 weeks ago,Sun Apr 23 23:38:46 2017 +0700,nambah centang iuran di menu update user
8819a9e,fachrul,3 weeks ago,Sun Apr 23 15:10:02 2017 +0700,tambah logic di seting -> tambah iuran
fc54617,fachrul,3 weeks ago,Sun Apr 23 12:04:32 2017 +0700,tambah logic di seting -> tambah pengeluaran
3f230aa,fachrul,3 weeks ago,Fri Apr 21 22:45:43 2017 +0700,tambah add user
b067ab3,rhezaaw,3 weeks ago,Fri Apr 21 19:03:14 2017 +0700,Merge branch 'master' of https://github.com/rhezaaw/siput
187ec25,fachrul,3 weeks ago,Fri Apr 21 18:59:20 2017 +0700,sql database anyar
60285c0,rhezaaw,3 weeks ago,Fri Apr 21 15:20:48 2017 +0700,update
4621324,rhezaaw,3 weeks ago,Fri Apr 21 15:19:54 2017 +0700,update
4cedaf4,fachrul,3 weeks ago,Thu Apr 20 18:21:17 2017 +0700,fix conflict setelah edit
e2ef470,fachrul,3 weeks ago,Thu Apr 20 18:18:44 2017 +0700,nambah di pengeluaran
03e48e4,fachrul,3 weeks ago,Thu Apr 20 18:17:26 2017 +0700,nambah di pengeluaran
aed55d2,rhezaaw,3 weeks ago,Thu Apr 20 10:56:03 2017 +0700,update gui dan pemasukkan joss
b9364fe,rhezaaw,3 weeks ago,Thu Apr 20 09:25:42 2017 +0700,update refresh
c382a72,rhezaaw,3 weeks ago,Thu Apr 20 09:15:27 2017 +0700,update refresh btn
0824b7f,fachrul,3 weeks ago,Thu Apr 20 09:11:04 2017 +0700,menambah warna pada pilihan iuran
8a0bba5,rhezaaw,3 weeks ago,Thu Apr 20 08:42:32 2017 +0700,update pemasukkan notice
795a1ea,rhezaaw,3 weeks ago,Wed Apr 19 18:47:39 2017 +0700,update
0df7521,rhezaaw,3 weeks ago,Wed Apr 19 18:46:43 2017 +0700,clear text
01f1aaa,fachrul,3 weeks ago,Tue Apr 18 22:16:44 2017 +0700,fix logic di menu pemasukkan
e6927a9,fachrul,3 weeks ago,Tue Apr 18 22:15:24 2017 +0700,fix logic di menu pemasukkan
977f1dd,rhezaaw,3 weeks ago,Tue Apr 18 00:20:14 2017 +0700,tambah dao mysql
d5752e0,fachrul,4 weeks ago,Mon Apr 17 16:05:11 2017 +0700,tambah logic di iuran dan mengubah model
07a59a6,fachrul,4 weeks ago,Mon Apr 17 16:00:57 2017 +0700,tambah logic di iuran dan mengubah model
68ebc08,rhezaaw,4 weeks ago,Sat Apr 15 14:38:52 2017 +0700,fix gui add user dan pengaturan
8b964c2,rhezaaw,4 weeks ago,Sat Apr 15 12:20:56 2017 +0700,pull req
fbf63c1,fachrul,4 weeks ago,Thu Apr 13 22:31:43 2017 +0700,menyambungkan data aplikasi ke rest
16665c6,fachrul,4 weeks ago,Thu Apr 13 18:03:28 2017 +0700,fix logic di input pembayaran
84a52f5,fachrul,4 weeks ago,Thu Apr 13 10:48:29 2017 +0700,fix logic di input pembayaran
5806ffa,rhezaaw,4 weeks ago,Thu Apr 13 10:48:20 2017 +0700,revisi gui
83e50b9,rhezaaw,4 weeks ago,Thu Apr 13 07:32:12 2017 +0700,hapus view tdk terpakai
711c78c,rhezaaw,4 weeks ago,Wed Apr 12 18:02:48 2017 +0700,tambah implement
c106c95,rhezaaw,4 weeks ago,Wed Apr 12 17:19:25 2017 +0700,rev gui
83928f2,fachrul,4 weeks ago,Wed Apr 12 16:52:36 2017 +0700,nambah beberapa model
e955cc5,fachrul,4 weeks ago,Wed Apr 12 16:44:02 2017 +0700,nambah beberapa model
ed4dccb,rhezaaw,4 weeks ago,Tue Apr 11 20:46:08 2017 +0700,fix form pemasukkan
9f1a012,fachrul,4 weeks ago,Tue Apr 11 20:22:14 2017 +0700,update database
9d34a93,fachrul,4 weeks ago,Tue Apr 11 20:02:27 2017 +0700,fix error commit bareng
7fe68f3,fachrul,4 weeks ago,Tue Apr 11 19:58:16 2017 +0700,fix logic pilih pembayaran
09a01b5,rhezaaw,4 weeks ago,Tue Apr 11 19:57:13 2017 +0700,tambah model
9af3a2e,fachrul,4 weeks ago,Tue Apr 11 02:58:12 2017 +0700,menambahkan logic di tambah iuran
71ebf12,fachrul,5 weeks ago,Mon Apr 10 16:32:40 2017 +0700,fix tampilan
138cdd8,rhezaaw,5 weeks ago,Sat Apr 8 08:46:07 2017 +0700,add ui pemasukan pengeluaran setting
9a99382,rhezaaw,5 weeks ago,Wed Apr 5 21:04:57 2017 +0700,tambah view add item pemasukkan dan pengeluaran
f82d931,rhezaaw,5 weeks ago,Wed Apr 5 20:24:50 2017 +0700,tambah view pemasukkan pengeluaran
d27d419,rhezaaw,8 weeks ago,Fri Mar 17 13:56:45 2017 +0700,update n click button samping
feb817c,fachrul,8 weeks ago,Thu Mar 16 21:30:21 2017 +0700,fix error load beranda
bee4689,rhezaaw,8 weeks ago,Thu Mar 16 10:41:32 2017 +0700,update beranda
25944ee,rhezaaw,8 weeks ago,Tue Mar 14 01:45:51 2017 +0700,ubah merah jadi biru
99cee62,fachrul,8 weeks ago,Mon Mar 13 23:52:41 2017 +0700,Tambah view controller
fafb580,rhezaaw,9 weeks ago,Mon Mar 13 14:17:08 2017 +0700,akses menu home
9ea96fa,rhezaaw,9 weeks ago,Sun Mar 12 21:39:45 2017 +0700,tambah user view
53e9320,rhezaaw,9 weeks ago,Sun Mar 12 20:26:45 2017 +0700,Merge branch 'rheza' of https://github.com/rhezaaw/siput into rheza
8f440c6,rhezaaw,9 weeks ago,Sun Mar 12 20:24:10 2017 +0700,tambah Show/Hide menu samping
6e9d855,fachrul,9 weeks ago,Sun Mar 12 19:42:31 2017 +0700,fix parameter DAOFactory
315ea69,rhezaaw,9 weeks ago,Sun Mar 12 19:33:52 2017 +0700,enter di login
1a0bcff,fachrul,9 weeks ago,Sun Mar 12 18:28:19 2017 +0700,Tambahi role as
ae93740,fachrul,9 weeks ago,Sun Mar 12 18:22:49 2017 +0700,Fix displayname di login panel
e7f1cb4,fachrul,9 weeks ago,Sun Mar 12 18:17:15 2017 +0700,fix login with db error
4e120ac,fachrul,9 weeks ago,Sun Mar 12 15:45:05 2017 +0700,Fix factory error
c8022b5,fachrul,9 weeks ago,Sun Mar 12 15:37:37 2017 +0700,hapus class yg tidak kepake
6449f93,rhezaaw,9 weeks ago,Sun Mar 12 14:49:54 2017 +0700,update dashboard
52e0a08,rhezaaw,9 weeks ago,Sun Mar 12 09:20:11 2017 +0700,Merge branch 'master' of https://github.com/rhezaaw/siput into rheza
bd4e15d,rhezaaw,9 weeks ago,Sun Mar 12 09:16:24 2017 +0700,pull rq
f5d825a,fachrul,9 weeks ago,Sat Mar 11 17:50:27 2017 +0700,Fix koneksi database
6386de7,fachrul,9 weeks ago,Sat Mar 11 17:36:48 2017 +0700,tambah database terakhir
5.29E+11,fachrul,9 weeks ago,Sat Mar 11 17:19:09 2017 +0700,1. Tambah koneksi ke database (Library netbean + class koneksi) 2. Buat model_User + DAOUser (Belum dipakai) 3. Tambah logika login di LoginController
4343597,fachrul,9 weeks ago,Thu Mar 9 21:02:59 2017 +0700,merge with master
a995045,fachrul,9 weeks ago,Thu Mar 9 21:00:27 2017 +0700,mau merge
9d7a783,fachrul,9 weeks ago,Thu Mar 9 20:32:22 2017 +0700,edit .gitignore
87a436b,fachrul,9 weeks ago,Thu Mar 9 20:26:25 2017 +0700,fix merge with nadhir
bf38526,fachrul,9 weeks ago,Thu Mar 9 20:23:15 2017 +0700,Merge branch 'nadhir'
ce45ad2,fachrul,9 weeks ago,Thu Mar 9 20:22:41 2017 +0700,merge with rheza
a35081c,fachrul,9 weeks ago,Thu Mar 9 13:09:47 2017 +0700,fix .gitignore
3c3b063,fachrul,9 weeks ago,Thu Mar 9 12:54:34 2017 +0700,tambah .gitignore
3eecebd,rhezaaw,9 weeks ago,Thu Mar 9 10:51:49 2017 +0700,1. Menambahkan fitur login 2. Menghilangkan stage button 3. Dragable login form 4. Menu dashboard admin (5%)
63a46d2,rhezaaw,9 weeks ago,Thu Mar 9 09:21:21 2017 +0700,1. Menambahkan fitur login 2. Menghilangkan stage button 3. Dragable login form 4. Menu dashboard admin (5%)
39230c5,rhezaaw,9 weeks ago,Thu Mar 9 09:20:38 2017 +0700,1. Menambahkan fitur login 2. Menghilangkan stage button 3. Dragable login form 4. Menu dashboard admin (5%)
5.85E+94,fachrul,10 weeks ago,Mon Mar 6 19:33:44 2017 +0700,add .gitignore'
b210d22,fachrul,10 weeks ago,Mon Mar 6 19:13:19 2017 +0700,merge with nadhir
3edb6de,fachrul,10 weeks ago,Mon Mar 6 18:52:48 2017 +0700,Fix import library jfoenix di LoginSiput.fxml
c0e53a6,rhezaaw,10 weeks ago,Mon Mar 6 14:41:29 2017 +0700,first commit
